index,name,credit,teacher_id,students
2,计算机科学导论,2,2025001,20253122,20251001,20251002,20251003,20251004,20251005,20251006,20251007,20251008,20251009,20251010,20251011,20251012,20251013,20251014,20251015,20251016,20251017,20251018,20251019,20251020,20251021,20251022,20251023,20251024,20251025,20251026,20251027,20251028,20251029,20251030,20251031,20251032,20251033,20251034,20251035,20251036,20251037,20251038,20251039,20251040,20251041,20251042,20251043,20251044,20251045,20251046,20251047,20251048,20251049
3,计算机科学导论,2,2025002,20251050,20251051,20251052,20251053,20251054,20251055,20251056,20251057,20251058,20251059,20251060,20251061,20251062,20251063,20251064,20251065,20251066,20251067,20251068,20251069,20251070,20251071,20251072,20251073,20251074,20251075,20251076,20251077,20251078,20251079,20251080,20251081,20251082,20251083,20251084,20251085,20251086,20251087,20251088,20251089,20251090,20251091,20251092,20251093,20251094,20251095,20251096,20251097,20251098,20251099
4,Python程序设计,4,2025003,20253122
5,C语言程序设计,4,2025004,20253122,20251001,20251002,20251003,20251004,20251005,20251006,20251007,20251008,20251009,20251010,20251011,20251012,20251013,20251014,20251015,20251016,20251017,20251018,20251019,20251020,20251021,20251022,20251023,20251024,20251025,20251026,20251027,20251028,20251029,20251030,20251031,20251032,20251033,20251034,20251035,20251036,20251037,20251038,20251039,20251040,20251041,20251042,20251043,20251044,20251045,20251046,20251047,20251048,20251049
6,高等数学（微积分）,6,2025005,20253122,20251001,20251002,20251003,20251004,20251005,20251006,20251007,20251008,20251009,20251010,20251011,20251012,20251013,20251014,20251015,20251016,20251017,20251018,20251019,20251020,20251021,20251022,20251023,20251024,20251025,20251026,20251027,20251028,20251029,20251030,20251031,20251032
7,高等数学（微积分）,6,2025006,20251033,20251034,20251035,20251036,20251037,20251038,20251039,20251040,20251041,20251042,20251043,20251044,20251045,20251046,20251047,20251048,20251049,20251050,20251051,20251052,20251053,20251054,20251055,20251056,20251057,20251058,20251059,20251060,20251061,20251062,20251063,20251064,20251065,20251066,20253122
9,线性代数,3,2025008,20251001
10,离散数学,4,2025009
11,离散数学,4,2025010
12,数字逻辑与数字电路,4,2025011
13,数字逻辑与数字电路,4,2025012
14,数据结构,4,2025013
15,数据结构,4,2025014
16,面向对象程序设计,4,2025015
17,面向对象程序设计,4,2025016
18,计算机组成原理,4,2025017
19,计算机组成原理,4,2025018
20,概率论与数理统计,3,2025019
21,概率论与数理统计,3,2025020
22,算法设计与分析,4,2025021
23,算法设计与分析,4,2025022
24,操作系统,4,2025023
25,操作系统,4,2025024
26,计算机网络,4,2025025
27,计算机网络,4,2025026
28,数据库系统,3,2025027
29,数据库系统,3,2025028
30,编译原理,4,2025029
31,编译原理,4,2025030
32,软件工程,4,2025031
33,软件工程,4,2025032
34,机器学习,3,2025033
35,深度学习,3,2025034
36,自然语言处理,3,2025035
37,信息安全基础,3,2025036
38,密码学,3,2025037
39,渗透测试,3,2025038
40,分布式系统,3,2025039
41,云计算与虚拟化,3,2025040
42,Linux内核分析,3,2025041
43,Web前端开发,3,2025042
44,后端开发技术,3,2025043
45,移动开发,3,2025044
46,毕业设计,8,2025045
47,企业实习,4,2025046
48,计算机图形学,3,2025047
49,大数据技术,3,2025048
50,区块链原理,2,2025049
51,嵌入式系统开发,3,2025050
52,Git版本控制,2,2025051
53,Linux系统与Shell编程,2,2025052
54,Docker与Kubernetes,2,2025053
55,技术文档写作,1,2025054
56,项目管理,2,2025055
57,计算机科学导论,2,2025056
58,Python程序设计,4,2025057
59,C语言程序设计,4,2025058,20251050,20251051,20251052,20251053,20251054,20251055,20251056,20251057,20251058,20251059,20251060,20251061,20251062,20251063,20251064,20251065,20251066,20251067,20251068,20251069,20251070,20251071,20251072,20251073,20251074,20251075,20251076,20251077,20251078,20251079,20251080,20251081,20251082,20251083,20251084,20251085,20251086,20251087,20251088,20251089,20251090,20251091,20251092,20251093,20251094,20251095,20251096,20251097,20251098,20251099
62,线性代数,6,2025111,20251067,20251068,20251069,20251070,20251071,20251072,20251073,20251074,20251075,20251076,20251077,20251078,20251079,20251080,20251081,20251082,20251083,20251084,20251085,20251086,20251087,20251088,20251089,20251090,20251091,20251092,20251093,20251094,20251095,20251096,20251097,20251098,20251099,20251100
61,线性代数,3,2025060
